symbol,side,type,state,qty,cum_qty,limit_price,time_in_force,submitted_at,terminal_at
LINK/USDT,SELL,LIMIT,CANCELED,12.030000000000000000,0.000000000000000000,8.475000000000000000,GTC,1784072700628,1784073600948
BTC/USDT,SELL,LIMIT,CANCELED,0.001730000000000000,0.000000000000000000,65997.380000000000000000,GTC,1784071802211,1784072702513
LINK/USDT,SELL,LIMIT,CANCELED,12.030000000000000000,0.000000000000000000,8.475000000000000000,GTC,1784070902603,1784071804882
ETH/USDT,SELL,LIMIT,CANCELED,0.059800000000000000,0.000000000000000000,1907.260000000000000000,GTC,1784070902227,1784071802694
BTC/USDT,SELL,LIMIT,CANCELED,0.001730000000000000,0.000000000000000000,65997.380000000000000000,GTC,1784070002220,1784070902697
ETH/USDT,SELL,LIMIT,CANCELED,0.059800000000000000,0.000000000000000000,1907.260000000000000000,GTC,1784069102227,1784070002719
LINK/USDT,SELL,LIMIT,CANCELED,12.030000000000000000,0.000000000000000000,8.475000000000000000,GTC,1784069100624,1784070013118
SOL/USDT,BUY,LIMIT_MAKER,CANCELED,1.933000000000000000,0.000000000000000000,77.540000000000000000,GTC,1784068218435,1784070903231
BTC/USDT,SELL,LIMIT,CANCELED,0.001730000000000000,0.000000000000000000,65997.380000000000000000,GTC,1784068202205,1784069102516
ETH/USDT,SELL,LIMIT,CANCELED,0.059800000000000000,0.000000000000000000,1907.260000000000000000,GTC,1784067302203,1784068202711
LINK/USDT,SELL,LIMIT,CANCELED,12.030000000000000000,0.000000000000000000,8.475000000000000000,GTC,1784067300614,1784068215101
BTC/USDT,SELL,LIMIT,CANCELED,0.001730000000000000,0.000000000000000000,65997.380000000000000000,GTC,1784066402187,1784067302478
BTC/USDT,BUY,LIMIT_MAKER,FILLED,0.001730000000000000,0.001730000000000000,64704.820000000000000000,GTC,1784065516078,1784065605172
LINK/USDT,SELL,LIMIT,CANCELED,12.030000000000000000,0.000000000000000000,8.475000000000000000,GTC,1784065502587,1784066403766
ETH/USDT,SELL,LIMIT,CANCELED,0.059800000000000000,0.000000000000000000,1907.260000000000000000,GTC,1784065502195,1784066402684
LINK/USDT,BUY,LIMIT_MAKER,FILLED,12.050000000000000000,12.050000000000000000,8.292000000000000000,GTC,1784064617309,1784064776819
ETH/USDT,BUY,LIMIT_MAKER,FILLED,0.059800000000000000,0.059800000000000000,1877.350000000000000000,GTC,1784064613561,1784064905481
LINK/USDT,SELL,LIMIT,FILLED,15.610000000000000000,15.610000000000000000,8.267000000000000000,GTC,1784034900613,1784035266419
LINK/USDT,SELL,LIMIT,CANCELED,15.610000000000000000,0.000000000000000000,8.267000000000000000,GTC,1784033100629,1784034001099
ETH/USDT,SELL,LIMIT,FILLED,0.062600000000000000,0.062600000000000000,1817.650000000000000000,GTC,1784032202278,1784032234406
LINK/USDT,SELL,LIMIT,CANCELED,15.610000000000000000,0.000000000000000000,8.267000000000000000,GTC,1784031304630,1784032201102
LINK/USDT,BUY,LIMIT_MAKER,FILLED,15.620000000000000000,15.620000000000000000,7.987000000000000000,GTC,1784030413211,1784030485401
ETH/USDT,SELL,LIMIT,CANCELED,0.062600000000000000,0.000000000000000000,1817.650000000000000000,GTC,1784030402210,1784031302727
ETH/USDT,SELL,LIMIT,CANCELED,0.062600000000000000,0.000000000000000000,1817.650000000000000000,GTC,1784028602191,1784029502646
LINK/USDT,BUY,LIMIT_MAKER,REJECTED,17.220000000000000000,0.000000000000000000,7.966000000000000000,GTC,1784026825084,1784026825581
ETH/USDT,SELL,LIMIT,CANCELED,0.062600000000000000,0.000000000000000000,1817.650000000000000000,GTC,1784026802205,1784027702700
ETH/USDT,SELL,LIMIT,CANCELED,0.062600000000000000,0.000000000000000000,1817.650000000000000000,GTC,1784025002177,1784025902671
ETH/USDT,BUY,LIMIT_MAKER,FILLED,0.062700000000000000,0.062700000000000000,1788.990000000000000000,GTC,1784024115692,1784024442485
